Category	Celltype	PAM	CTR	Kim	sc27	sc29	L17	L20
Epi	AT2-cell	1.06157631	1.082792106	0.920584764	0.944375061	1.187996369	0.704858652	1.312796242
Epi	Club-cell	0.66000607	1.004444982	1.235871724	0.585923698	0.73991561	0.577832956	1.264074104
Epi	Ciliated-cell	1.151125006	0.463246329	1.129907214	1.242432987	1.052634928	0.750459474	0.288453092
Endo	Artery-cell	2.141091129	0.689226568	0.338235947	2.454655352	1.802862591	0.551534651	0.773023622
Endo	Vein-cell	2.661405105	0.307558552	0.14182084	2.938017916	2.363034499	0.205096078	0.369915543
Stromal	Fibroblast	1.707597378	0.177101569	0.866267918	1.246814835	2.204624128	0.167181312	0.183138876
Stromal	Smooth-muscle	2.55392625	0.195463754	0.266207481	1.99410262	3.157784455	0.13247227	0.233799343
Immune	T-cell	0.389077833	0.678222835	1.56858499	0.409273986	0.367293092	0.724303454	0.650178922
Immune	B-cell	0.329476629	1.4993293	1.249835746	0.293043299	0.368775729	1.387705372	1.567261803
Immune	NK-cell	0.170221414	0.631639209	1.742121978	0.196555011	0.141816471	0.665223059	0.611200625
Immune	Mast-cell	0.747923707	0.271871513	1.495950671	0.630810882	0.874248385	0.26738595	0.274601354
Immune	Dendritic-cell	0.565621891	0.74985248	1.413650737	0.501458895	0.634831817	0.525027713	0.886677167
Immune	Monocyte	0.823887391	1.193337184	1.038320393	0.807853394	0.841182588	0.700384772	1.493339983
Immune	Macrophage-1	0.985931498	1.811365534	0.653676969	1.01671883	0.952722498	1.977243958	1.71041463
Immune	Macrophage-2	1.266710757	0.83196317	0.887200899	1.224739345	1.311983554	0.970558371	0.747616391
Immune	Macrophage-3	0.778237649	0.457819791	1.393120903	0.60203999	0.968294653	0.481686579	0.443294853
Immune	Macrophage-4	1.480277677	0.571079703	0.85233221	1.561428894	1.392743272	0.616907562	0.543189616
